# 
#  Image file: http://imgsrc.hubblesite.org/hu/db/images/hs-1999-30-b-full_jpg.jpg
#  Applied threshold: 600
#  Algorithm used: fill2                 
#  Processing time: 0.094000 (s)
#  Star count: 312
#  Location (x,y) and max luminance:
# 
  1	  6	724	
  1	 30	762	
  1	131	705	
  1	282	765	
  9	280	765	
 10	358	764	
 10	192	709	
 12	289	765	
 14	388	765	
 13	  1	765	
 13	 91	742	
 16	159	727	
 16	135	765	
 20	427	765	
 19	258	657	
 27	 94	765	
 31	326	712	
 32	 80	765	
 34	353	765	
 40	251	765	
 50	379	704	
 55	140	761	
 57	385	765	
 61	238	764	
 64	 81	607	
 64	281	765	
 65	368	765	
 68	148	765	
 72	345	764	
 74	  4	762	
 77	437	727	
 81	255	700	
 87	 81	765	
 87	427	721	
 89	359	729	
 89	279	621	
 96	369	765	
 99	338	720	
100	216	765	
102	147	762	
106	429	763	
106	420	656	
112	140	706	
115	109	764	
119	501	724	
120	105	764	
120	224	765	
122	328	765	
124	398	765	
120	364	708	
122	 93	765	
122	180	765	
122	186	663	
121	231	688	
121	474	604	
122	250	765	
124	161	617	
125	 20	730	
128	161	765	
131	331	765	
135	122	763	
135	283	765	
135	 99	765	
136	172	764	
138	229	765	
139	184	765	
140	246	764	
142	 10	707	
145	262	765	
146	266	763	
147	398	764	
149	109	765	
151	240	638	
152	 63	711	
155	185	650	
156	225	765	
156	270	764	
157	311	765	
160	160	765	
159	145	622	
160	126	660	
161	 49	630	
165	257	749	
168	214	764	
169	233	765	
169	271	765	
170	148	764	
171	264	765	
171	 37	668	
174	386	692	
175	 73	765	
176	261	665	
181	178	764	
182	294	688	
181	378	632	
183	134	765	
183	198	764	
184	228	765	
189	401	763	
189	139	609	
191	206	765	
192	212	765	
191	292	765	
190	119	765	
191	184	765	
195	168	748	
198	239	765	
201	128	764	
202	226	762	
200	276	765	
203	119	765	
203	131	745	
206	175	765	
206	211	765	
207	313	763	
204	195	765	
206	123	765	
205	 72	762	
208	 15	650	
208	 83	607	
210	 94	765	
211	162	765	
211	195	765	
212	254	765	
209	203	764	
211	150	719	
215	232	765	
214	241	765	
214	286	765	
215	323	765	
215	381	680	
213	 96	601	
216	148	765	
217	199	764	
217	 98	601	
219	151	630	
219	238	628	
223	131	765	
224	153	765	
223	168	765	
224	244	765	
224	395	765	
223	364	720	
225	 84	765	
225	135	606	
225	259	764	
226	213	765	
226	255	764	
227	252	617	
228	 87	641	
229	237	691	
229	328	765	
229	341	765	
230	159	765	
232	 46	765	
232	136	765	
232	204	731	
236	229	765	
238	319	765	
234	354	672	
239	180	765	
241	213	765	
241	248	644	
241	255	765	
241	278	764	
242	353	765	
239	149	765	
238	206	610	
242	161	765	
244	343	765	
246	128	765	
245	267	762	
250	276	765	
246	288	765	
247	171	727	
248	126	748	
249	146	712	
252	118	765	
252	192	765	
257	243	765	
258	302	765	
255	138	764	
259	127	765	
260	237	764	
260	273	613	
261	189	609	
264	234	765	
264	306	613	
264	121	703	
267	135	765	
268	173	765	
270	180	765	
270	192	759	
270	217	765	
272	359	765	
265	259	758	
268	133	605	
268	152	764	
271	295	633	
276	172	765	
280	181	765	
281	269	765	
284	364	765	
280	106	747	
284	220	765	
286	236	765	
285	254	765	
287	280	765	
290	215	765	
290	248	765	
291	192	765	
292	176	765	
292	169	765	
294	 93	765	
295	321	765	
296	154	765	
297	226	604	
297	276	765	
300	173	765	
301	  8	666	
303	201	765	
303	175	622	
304	314	603	
307	225	764	
309	333	659	
309	316	616	
309	330	635	
311	150	764	
311	  1	660	
312	289	612	
313	329	645	
315	131	765	
314	180	689	
315	 63	765	
316	133	607	
318	205	765	
318	249	624	
320	276	765	
322	310	764	
321	250	765	
320	208	635	
321	207	622	
324	110	763	
326	341	742	
327	173	727	
330	 43	746	
332	 51	764	
334	124	765	
334	251	764	
334	303	765	
334	 54	763	
338	257	764	
338	236	765	
339	137	657	
339	 69	761	
339	 75	764	
344	164	765	
343	305	744	
353	 11	765	
353	389	765	
352	 21	734	
356	198	753	
357	317	657	
359	 93	765	
361	 99	739	
363	133	763	
364	157	752	
371	106	760	
375	 83	764	
375	246	765	
376	419	765	
377	 17	765	
377	250	704	
379	295	765	
381	 33	608	
389	432	722	
392	379	613	
394	 59	765	
397	148	765	
397	237	670	
403	 21	765	
401	 32	762	
401	 82	705	
410	148	765	
412	 65	765	
427	384	765	
425	 90	765	
435	 50	764	
437	267	763	
440	190	765	
442	293	765	
443	155	630	
445	214	764	
447	131	765	
451	190	765	
452	 33	765	
452	145	750	
460	 70	679	
465	411	743	
468	 53	765	
473	294	760	
475	  7	764	
475	365	698	
484	270	648	
488	169	765	
491	 64	765	
493	 63	638	
496	105	722	
500	424	760	
503	131	765	
503	175	748	
504	450	651	
